Проверка вводимого поле Name;;
позитивные проверки:;;
;1;"Ввод значения, удовлетворяющего критериям (""счастливый сценарий"")."
;2;Ввод максимальной длины или максимального значения.
;3;Ввод минимальной длины или минимального значения.
негативные проверки:;;
;4;Ввод значения, превышающего максимальную длину или допустимый максимум.
;5;"
Ввод значения меньше минимума."
;6;Текст в верхнем регистре
;7;Текст в нижнем регистре
;8;Текст в верхнем и нижнем регистре
;9;Пустое поле
;10;Несколько пробелов
;11;Пробелы до и после текста
;12;Знаки препинания
;13;Цифры
;14;"Спецсимволы: ~`!@#$%^&*()_+<>?:""{}[];’"
;15;Символы на разных языках
;проверка безопасности;
;16;"(межсайтовый скриптинг) скрипт: <script>alert(""I hacked this!"")</script>. "
;17;"SQL-инъекцию, например, FOO'); DROP TABLE USERS; "
Проверка способа ввода;;
;18;Cотрите несколько символов клавишей BackSpace, а потом введите другие
;19;Передвиньте курсор стрелками в середину слова, и впишите туда несколько символов, включая пробел
;20;Вставить корректное значениеСкопировать значение “Ctrl+C”  “Ctrl+V”
;21;Вставить корректное значение (вызвав меню правым кликом мыши)
;;
Проверка вводимого поле Surame;;
позитивные проверки:;;
;22;"Ввод значения, удовлетворяющего критериям (""счастливый сценарий"")."
;23;Ввод максимальной длины или максимального значения.
;24;Ввод минимальной длины или минимального значения.
негативные проверки:;;
;25;Ввод значения, превышающего максимальную длину или допустимый максимум.
;26;"
Ввод значения меньше минимума."
;27;Текст в верхнем регистре
;28;Текст в нижнем регистре
;29;Текст в верхнем и нижнем регистре
;30;Пустое поле
;31;Несколько пробелов
;32;Пробелы до и после текста
;33;Знаки препинания
;34;Цифры
;35;"Спецсимволы: ~`!@#$%^&*()_+<>?:""{}[];’"
;36;Символы на разных языках
;проверка безопасности;
;37;"ввести <script>alert(""I hacked this!"")</script>. 
"
;38;"SQL-инъекцию, например, FOO'); DROP TABLE USERS; "
Проверка способа ввода;;
;39;Cотрите несколько символов клавишей BackSpace, а потом введите другие
;40;Передвиньте курсор стрелками в середину слова, и впишите туда несколько символов, включая пробел
;41;Вставить корректное значениеСкопировать значение “Ctrl+C”  “Ctrl+V”
;42;Вставить корректное значение (вызвав меню правым кликом мыши)
 Поле e-mail ;;
Проверка валидного адреса;;
;1;Валидный email, содержащий строчный и заглавные буквы
;2;Начинающийся с цифры в локальной части email
;3;Начинающийся с цифры в доменной части email
;4;Email c несколькими точками в локальной и доменной части
;5;Email с дефисом в локальной части email
;6;Email с дефисом в доменной части email
;7;Email с нижним подчёркиванием в локальной части email
;8;Email с нижним подчёркиванием в доменной части email
;9;Длинный Email (локальная часть 64 символа, доменная состоит из 3 участков по 63 символа, разделённых точками)
;;
Проверка на невалидность ( форма информирует пользователя о невалидности email);;
;10;Пустое поле
;11;Превышение длины локальной части (минимум 1 и максимум 64 символа)
;12;Превышение длины доменного имени (минимум 2 и максимум 255 символов)
;13;Превышение длины участка доменного имени между точками (максимальная допустимая 63 символа)
;14;Отсутствие @ в email
;15;Отсутствие локальной части
;16;Отсутствие доменной части
;17;Содержит две точки подряд
;18;Локальная часть начинается с . (точки)
;19;Доменная часть начинается с . (точки)
;;
Проверка способа ввода;;
;20;Cотрите несколько символов клавишей BackSpace, а потом введите другие
;21;Передвиньте курсор стрелками в середину слова, и впишите туда несколько символов, включая пробел
;22;"Вставьте несколько символов командой ""Paste"" или сочетанием ""Ctrl-V"""
 Поле Password;;
Проверка валидного адреса;;
;1;Валидный пароль (содержащий  минимум 1 буквы верхнего регистра и минимум 1 цифры максимальной длины)
;2;Валидный пароль (содержащий  минимум 1 буквы верхнего регистра и минимум 1 цифры минимальной длины)
;3;проверка поля на обязательность к заполнению
;4;проверка поля на скрытие символов
;5;проверка поля  на отображение правил (для удобства пользователя эти правила должны быть написаны возле поля до отправки формы)
Проверка на невалидность ( форма информирует пользователя о невалидности email);;
;6;Ввод значения, превышающего максимальную длину или допустимый максимум.
;7;"
Ввод значения меньше минимума."
;8;Текст в верхнем регистре
;9;Текст в нижнем регистре
;10;Текст в верхнем и нижнем регистре
;11;Пустое поле
;12;Несколько пробелов
;13;Пробелы до и после текста
;14;Знаки препинания
;15;Цифры
;16;"Спецсимволы: ~`!@#$%^&*()_+<>?:""{}[];’"
;17;Символы на разных языках
Проверка способа ввода;;
;18;Cотрите несколько символов клавишей BackSpace, а потом введите другие
;19;Передвиньте курсор стрелками в середину слова, и впишите туда несколько символов, включая пробел
;20;"Вставьте несколько символов командой ""Paste"" или сочетанием ""Ctrl-V"""
